"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"abc_2016_7_21_0","abc_2016_7_21","0","0","0","Good","Home","Offical Task","19","496","1129a092786099b3"
"_2016_7_21_2","_2016_7_21","2","0","0","Good","Home","Offical Task","22","497","1129a092786099b3"
"abc_2016_7_21_2","abc_2016_7_21","2","0","0","Good","Home","Offical Task","21","498","1129a092786099b3"
"abc_2016_7_22_13","abc_2016_7_22","13","3","1","Good","Office (University)","Individual Task","23","499","1129a092786099b3"
"trinhthikhanhquynh_2016_7_22_19","trinhthikhanhquynh_2016_7_22","19","4","0","Good","Home","Individual Task","3","500","d4d4f36a74a6edb4"
"abc_2016_7_22_14","abc_2016_7_22","14","3","1","Good","Office (University)","Individual Task","24","501","1129a092786099b3"
"abc_2016_7_22_15","abc_2016_7_22","15","3","1","Good","Office (University)","Offical Task","25","502","1129a092786099b3"
"trinhthikhanhquynh_2016_7_22_20","trinhthikhanhquynh_2016_7_22","20","0","0","Good","Home","Individual Task","4","503","d4d4f36a74a6edb4"
"abc_2016_7_22_16","abc_2016_7_22","16","0","0","Good","Home","Offical Task","26","504","1129a092786099b3"
"abc_2016_7_22_17","abc_2016_7_22","17","1","1","Good","Office (University)","Offical Task","27","505","1129a092786099b3"
"abc_2016_7_22_21","abc_2016_7_22","21","1","1","Good","Shopping Center(Market)","Relaxing activities","30","506","1129a092786099b3"
"abc_2016_7_22_22","abc_2016_7_22","22","2","1","Normal","Home","Relaxing activities","31","507","1129a092786099b3"
"abc_2016_7_22_23","abc_2016_7_22","23","1","1","Good","Home","Relaxing activities","32","508","1129a092786099b3"
"abc_2016_7_22_20","abc_2016_7_22","20","3","0","Good","Natural area","Social activity","29","509","1129a092786099b3"
"abc_2016_7_22_19","abc_2016_7_22","19","3","0","Good","Natural area","Social activity","28","510","1129a092786099b3"
"trinhthikhanhquynh_2016_7_23_8","trinhthikhanhquynh_2016_7_23","8","3","0","Good","On the Road","Individual Task","5","511","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_9","trinhthikhanhquynh_2016_7_23","9","2","1","Good","Home","Individual Task","6","512","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_10","trinhthikhanhquynh_2016_7_23","10","2","2","Good","Home","Individual Task","7","513","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_12","trinhthikhanhquynh_2016_7_23","12","4","0","Good","Home","Individual Task","9","514","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_13","trinhthikhanhquynh_2016_7_23","13","4","2","Good","Home","Individual Task","10","515","d4d4f36a74a6edb4"
"nguyenvietthanh_2016_7_23_14","nguyenvietthanh_2016_7_23","14","0","2","Good","Office (University)","Offical Task","5","516","2c475652d051ba8c"
"trinhthikhanhquynh_2016_7_23_15","trinhthikhanhquynh_2016_7_23","15","3","0","Good","Home","Individual Task","11","517","d4d4f36a74a6edb4"
"hoangdd_2016_7_22_17","hoangdd_2016_7_22","17","0","0","Good","Home","Offical Task","23","518","5d4b166b16abef5f"
"hoangdd_2016_7_22_23","hoangdd_2016_7_22","23","2","0","Good","Home","Relaxing activities","25","519","5d4b166b16abef5f"
"hoangdd_2016_7_23_14","hoangdd_2016_7_23","14","0","0","Good","Home","Offical Task","26","520","5d4b166b16abef5f"
"_2016_7_23_14","_2016_7_23","14","0","0","Good","Home","Offical Task","27","521","5d4b166b16abef5f"
"hoangdd_2016_7_22_21","hoangdd_2016_7_22","21","3","0","Good","Home","Relaxing activities","24","522","5d4b166b16abef5f"
"trinhthikhanhquynh_2016_7_23_16","trinhthikhanhquynh_2016_7_23","16","4","0","Good","Home","Individual Task","12","523","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_17","trinhthikhanhquynh_2016_7_23","17","4","0","Good","On the Road","Relaxing activities","13","524","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_18","trinhthikhanhquynh_2016_7_23","18","0","0","Good","Home","Offical Task","14","525","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_19","trinhthikhanhquynh_2016_7_23","19","4","0","Good","Natural area","Offical Task","15","527","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_20","trinhthikhanhquynh_2016_7_23","20","4","0","Good","Natural area","Offical Task","16","528","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_23_21","trinhthikhanhquynh_2016_7_23","21","4","0","Good","Natural area","Individual Task","17","529","d4d4f36a74a6edb4"
"nguyenvietthanh_2016_7_23_21","nguyenvietthanh_2016_7_23","21","0","1","Good","On the Road","Individual Task","6","530","2c475652d051ba8c"
